字段,Chinese,English,Fran?ais,Russian
task_name_5,赛车收藏者,Car Collector,Collectionneur?de?voitures,Коллекционер машины
task_name_6,赛车大亨,Car Tycoon,Baron?de?voitures,Автомобильный магнат
task_name_7,车王,King of Cars,Roi?de?voitures,Король машины
task_name_8,车神,God of Cars,,
GetReward2,已领取,Claimed,Collecté,Получено
BuySucessed,购买成功,Purchase Success,Achat?réussi,Ваша покупка успешно совершена
CarOperate,操控+{0},Control +{0},Manipulation?+{0},Контроль + {0}
AffirmRecycle,确定回收这辆车吗？,Comfirm to sell the car?,êtes-vous?s?r?de?vouloir?recycler?la?voiture??,"Вы уверены, что продать эту машину?"
RecycleHint,回收后车位将没有赛车,There will be no cars in the garage if you sell this car,La?voiture?sera?disparue?après?l'avoir?recyclée.,"Если вы продадите эту машину, в гараже не останется этой машин."
FreeNums,免费次数: ({0}/3),Free Chance: ({0}/3),Nombres Gratuits: ({0}/3),Бесплатный шанс: ({0}/3)
BonusNums,收益x{0},Earnings x{0},Revenu x{0},Доход x {0}
Loading,加载中…,Loading…,Chargement…,Загрузки...
hint_x4h,4小时金币收益,4-hour earnings,Revenu-4 heures,Доход за 4 часа
hint_x20diamonds,钻石x20,Diamond x20,Diamants x20,Алмаз x20
hint_x24h,1天金币收益,1-day Earnings,Revenu-1 jour,Доход за 1 день
hint_5speed,5倍收益,Speed x5,Vitesse de revenu x5,Ускорить х5
hint_2speed,2倍收益加速,Speed x2,Vitesse de revenu x2,Ускорить х2
hint_x4cars,赛车x4,Car x4,Voiture gratuite x4,Машина х4
Push_SpinFull,转盘次数已满，快来试试手气吧！,"Hi, Driver! You've got 3 free times to spin, a lot of gifts is wating for you, please come back soon!",Vous avez 3 chances gratuites à la roulette ! Revenez vite tenter votre chance !,"Привет, водитель! У тебя есть 3 бесплатных шансов в лотерее!"
Push_OffLineBonusFull,您已获得{0}金币，快上线领取吧！,"Hi, Driver! You've earned {0} coins in the garage, please come back soon!",Vous avez obtenu {0} pièces d'or. Revenez les collecter !,"Привет, водитель! Вы заработали {0} монет, пожалуйста, получите эти монеты!"
RecoverTime,恢复时间:{0},Recover Time: {0},Temps rechargé: {0},Обноление: {0}
DiamondUnEnoug,钻石不足,Insufficient Diamond,Diamants insuffisants,Не хватает алмазов
NoNetwork,暂无广告，请稍后再试,"No ads yet, please try later","Pas de publicité, veuillez réessayer plus tard !","Не загружена реклама, попробуйте позже."
Carport,车位,Space,Emplacement,Место
Resurgence,点击复活,Revive,Revivre,Воскресать
LevelUp,恭喜升级,Level Up!,Amélioration !,Улучшено!
LevelMax,已满级,Max,Max,Макс
BackMainUI,返回主界面,Home,Retour,Домой
playerFeedBack,给我们一点建议,Feedback,Feed-back,Отзыв
playerfeel,您觉得我们游戏好玩嘛？,Have Fun?,Aimez-vous ce jeu ?,Эта игра Вам нравится?
playerMind,这是我们的一点心意,Here is a present for letting us  know!,Veuillez accepter le cadeau que nous avons préparé.,Это сюрприз для Вас.
playerAgain,再玩玩看,Later,Plus tard,Поиграть
playerNow,现在就去,Go Score,Noter,Сейчас
playerYes,有一点好玩,Yes,Oui,Да
ClickToReceive,点击领取,Claim,Cliquez pour collecter,"Нажмите, чтобы получить"
speedUpDesc,快来体验加速收益的快感吧！,Experience the pleasure of earning speedup now!,Découvrez le plaisir du revenu accéléré !,Испытайте острые ощущения ускорения!
threeReceive,领取3倍奖励！,Get X3,Récompense X3,Тройной
recycleDesc1,亲爱的玩家朋友们，大家好！,"Dear Players,",,
recycleDesc2,●为优化操作体验，我们关闭了代币兑换系统,"● To optimize game operation, we closed the Currency system.",,
recycleDesc3,●您已经购买的特权将保留，下级开始改为金币购买,"● Your Buff will be remained, and the others will be changed to coin purchase.",,
recycleDesc4,●之前拥有的代币，将兑换成金币返还，兑换比例为1:11000,"● You can exchange your currency into coins, and 1 currency equals 11000 coins.",,
recycleDesc5,●祝您玩的愉快!,● Wish you a good time!,,
recycleTitle,代币回收,Email,,
recycleBtn,确认回收,Comfirm,,
speedNums,加速x{0},Speed X{0},,
coinEnough,金币不足,Insufficient Coin,,
endlessTitle,距离赛,Endless,,
getTichet,获得入场券,Get Tickets,,
freeGet,免费获得,Free,,
endlessCondition,完成{0}关解锁,Stage {0} Unlock,,
finishChallenge,挑战结束,Finish,,
youGet,你赚取了,Get,,
endlessLength,{0}km,{0}km,,
NoRecord,未记录,No Record,,
NewRecord,新纪录,New Record,,
getTicketDesc,每日0点补满次数,Free Tickets Refresh at 0:00,,
CurSpeed,当前速度:{0}{1},Current Speed:{0}{1},,
MaxSpeed,历史最高:{0}{1},Top Record:{0}{1},,
signReceived,今日已签到,Signed,,
versions,版本号:{0},v{0},,
CarLength,高级车能帮你跑的更远!,Better cars will run further!,,
NotNetwork,请连接网络…,Please Connect Network,,
SignDesc1,今日已领取,Signed Today,,
SignDesc2,欢迎明天再来！,Come Back Everyday to Get Daily Gifts!,,
RefreshTime,距离下次刷新  {0},Refresh In {0},,
BonusThree,收益x3,Get X3,,
BonusTwo,收益x2,Get X2,,
TipsCopy,已复制到剪贴板,Copied,,
TipsBannedWord,名称不合法或包含敏感词汇,Include Sensitive Words,,
TipsOperatingFrequency,操作频繁，请1分钟后再试,"Frequent Operation, Try Again 1min Later.",,
rename,修改,Change,,
copy,复制,Copy,,
renameError,修改失败,Change Falied,,
renameTitle,更改昵称,Change Name,,
renameHint,请输入新昵称…,Please Input New Name…,,
renameDesc,最多支持6个中文或12个英文字符,Up to 6 Chinese or 12 English characters,,
PlayerName,昵称：,Name：,,
SignInDefeated,签到失败，请稍后再试,"Failed Sign, Please try again later",,
AdvPlayDefeated,播放失败,Ads Display Failure,,
renameClientShort,名称过短,Name is too short,,
renameClientLong,名称过长,Name is too long,,
renameClientLegal,昵称请输入中文、英文或下划线,"Only Chinese, English and '_' is available",,
treasureChest,豪华宝箱,Treasure Chest,,
